model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro,balanced_accuracy
Early Fusion,0.7130434782608696,0.6208629861528815,0.6023375281056557,0.6042316674447223,0.8960731058121417,0.6023375281056557
Late Fusion,0.6463768115942029,0.6488869571930717,0.7149964905429512,0.6647698363376131,0.9180439152138913,0.7149964905429512
Attention Fusion,0.7159420289855073,0.6608061267960188,0.7036041982991393,0.6626696306809192,0.9320575466234372,0.7036041982991393
