model,ACK,BCC,MEL,NEV,SCC,SEK
Early Fusion,0.8061224489795918,0.795774647887324,0.6666666666666666,0.6666666666666666,0.1276595744680851,0.5625
Late Fusion,0.7298578199052133,0.6411483253588517,0.8888888888888888,0.7619047619047619,0.2826086956521739,0.6842105263157895
Attention Fusion,0.7608695652173914,0.7841726618705036,0.6956521739130435,0.8,0.26865671641791045,0.6666666666666666
